HotelName,Rating,Website,Phone,Details,Address,ZipCode,City
Casablanca Hotel Times Square,4,http://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_Times_Square-New_York_City_New_York.html,,,147 West 43rd Street,10036,New York City
Four Seasons Hotel Los Angeles at Beverly Hills,5,http://www.tripadvisor.com/Hotel_Review-g32655-d76049-Reviews-Four_Seasons_Hotel_Los_Angeles_at_Beverly_Hills-Los_Angeles_California.html,,,300 S Doheny Dr,90048,Los Angeles
Hilton Garden Inn Times Square,3.5,http://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,,,790 Eighth Avenue,10019,New York City
The Michelangelo Hotel,4,http://www.tripadvisor.com/Hotel_Review-g60763-d93589-Reviews-The_Michelangelo_Hotel-New_York_City_New_York.html,,,152 West 51st Street,10019,New York City
The Muse Hotel New York,4,http://www.tripadvisor.com/Hotel_Review-g60763-d217616-Reviews-The_Muse_Hotel_New_York-New_York_City_New_York.html,,,130 West 46th Street,10036,New York City
Sofitel New York,4.5,http://www.tripadvisor.com/Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html,,,45 West 44th Street,10036,New York City
The NoMad Hotel,,http://www.tripadvisor.com/Hotel_Review-g60763-d2643161-Reviews-The_NoMad_Hotel-New_York_City_New_York.html,,,1170 Broadway & 28th Street,10001,New York City
Staybridge Suites Times Square - New York City,3.5,http://www.tripadvisor.com/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,,,340 West 40th Street,10018,New York City
The Sherry-Netherland Hotel,4.5,http://www.tripadvisor.com/Hotel_Review-g60763-d93559-Reviews-The_Sherry_Netherland_Hotel-New_York_City_New_York.html,,,781 Fifth Avenue,10022,New York City
San Carlos Hotel,4,http://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York.html,,,150 East 50th Street,10022,New York City
The Iroquois,4,http://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois-New_York_City_New_York.html,,,49 W 44th St,10036,New York City
Eventi - a Kimpton Hotel,4,http://www.tripadvisor.com/Hotel_Review-g60763-d1456560-Reviews-Eventi_a_Kimpton_Hotel-New_York_City_New_York.html,,,851 Avenue of the Americas (Sixth Avenue),10001,New York City
The Chatwal,5,http://www.tripadvisor.com/Hotel_Review-g60763-d1641016-Reviews-The_Chatwal-New_York_City_New_York.html,,,130 West 44th Street,10036,New York City
"The Setai Fifth Avenue, a Capella managed Hotel",5,http://www.tripadvisor.com/Hotel_Review-g60763-d1776857-Reviews-The_Setai_Fifth_Avenue_a_Capella_managed_Hotel-New_York_City_New_York.html,,,400 Fifth Avenue,10018,New York City
