RestaurantId,RestaurantName,Rating,Address,Area,Category,Service,ZipCode
1,Tides,1,"25205 Saltwater Park Rd, Des Moines, WA 98198",0.00,['Seafood'],[],98198
2,"Buffalo Wild Wings",2,"2005 S 320th St, Federal Way, WA 98063",0.00,"['Chicken Wings', 'American (Traditional)', 'Sports Bars']","['Delivery', 'Takeout']",98063
3,"Buffalo Wild Wings",2.5,"2005 S 320th St, Federal Way, WA 98063",0.00,"['Chicken Wings', 'Sports Bars', 'American (Traditional)']","['Outdoor dining', 'Delivery', 'Takeout']",98063
4,IHOP,2.5,"24060 104th Ave SE, Kent, WA 98031",0.00,"['Breakfast & Brunch', 'American (Traditional)']","['Outdoor dining', 'Delivery', 'Takeout']",98031
5,"Mariscos Culiacan",2.5,"26216 Pacific Hwy S, Kent, WA 98032",0.00,"['Mexican', 'Seafood']",[],98032
6,"The Cheesecake Factory - Lynnwood",2.5,"3000 184th St SW, Ste 1140, Lynnwood, WA 98037",0.00,"['Desserts', 'American (Traditional)']","['Delivery', 'Takeout']",98037
7,"Azteca Mexican Restaurant",2.5,"2020 S 320th St, Ste L, Federal Way, WA 98003",0.00,['Mexican'],"['Delivery', 'Takeout']",98003
8,"STK Steakhouse Bellevue",3,"610 Bellevue Way NE, Bellevue, WA 98004",0.00,['Steakhouses'],"['Opened 8 weeks ago', 'Outdoor dining', 'Delivery', 'Takeout']",98004
9,"El Charro Mexican Restaurant",3,"10218 SE 240th St, Kent, WA 98031",0.00,['Mexican'],"['Delivery', 'Takeout']",98031
10,"El Charro Mexican Restaurant",3,"10218 SE 240th St, Kent, WA 98031",0.00,['Mexican'],"['Delivery', 'Takeout']",98031
11,"Cubanos On Wheels",3,"1045 320th St, Federal Way, WA 98003",0.00,"['Food Trucks', 'Cuban', 'Southern']","['Outdoor dining', 'Takeout']",98003
12,"Lunchbox Laboratory",3,"989 112th Ave NE, Ste 105, Bellevue, WA 98004",0.00,"['American (New)', 'Burgers']","['Delivery', 'Takeout']",98004
13,Chick-fil-A,3,"32025 Pacific Hwy S, Federal Way, WA 98003",0.00,"['Fast Food']","['Delivery', 'Takeout']",98003
14,Chick-fil-A,3,"12801 Aurora Ave N, Seattle, WA 98133",0.00,"['Fast Food']","['Delivery', 'Takeout']",98133
15,"MOD Pizza",3,"417 Ramsay Way, Kent, WA 98032",0.00,"['Pizza', 'Fast Food']","['Delivery', 'Takeout']",98032
16,"Olive Garden Italian Restaurant",3,"35030 Enchanted Pkwy, Federal Way, WA 98003",0.00,"['Italian', 'Salad', 'Soup']","['Delivery', 'Takeout']",98003
17,"Olive Garden Italian Restaurant",3,"35030 Enchanted Pkwy, Federal Way, WA 98003",0.00,"['Italian', 'Salad', 'Soup']","['Outdoor dining', 'Delivery', 'Takeout']",98003
18,"Puerto Vallarta Restaurant",3,"2002 SW Campus Dr, Federal Way, WA 98023",0.00,['Mexican'],"['Delivery', 'Takeout']",98023
19,"Sam’s Tavern",3,"931 108th Ave NE, Bellevue, WA 98004",0.00,"['Burgers', 'Sports Bars', 'Breakfast & Brunch']","['Outdoor dining']",98004
20,"Sam’s Tavern",3,"931 108th Ave NE, Bellevue, WA 98004",0.00,"['Burgers', 'Sports Bars', 'Breakfast & Brunch']","['Outdoor dining']",98004
21,"Todo Mexico",3.5,"19953 Ballinger Way NE, Shoreline, WA 98155",0.00,['Mexican'],"['Delivery', 'Takeout']",98155
22,"Pho Bach Vietnamese Restaurant",3.5,"1634 S 312th St, Federal Way, WA 98003",0.00,"['Vietnamese', 'Noodles']",[],98003
23,"Kahlo’s Cantina",3.5,"102 Main St, Edmonds, WA 98020",0.00,"['Mexican', 'Cocktail Bars']","['Outdoor dining']",98020
24,"Watershed Pub & Kitchen",3.5,"10104 3rd Ave NE, Seattle, WA 98125",0.00,"['Pubs', 'Pizza', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",98125
25,"Linh Son Restaurant",3.5,"31830 Pacific Hwy S, Ste K, Federal Way, WA 98003",0.00,['Vietnamese'],"['Outdoor dining', 'Delivery', 'Takeout']",98003
26,"Boiling Point",3.5,"22001 Hwy 99, Ste 100, Edmonds, WA 98026",0.00,"['Taiwanese', 'Hot Pot', 'Comfort Food']","['Delivery', 'Takeout']",98026
27,"Maharaj Cuisine Of India",3.5,"2312 SW 336th St, Federal Way, WA 98023",0.00,['Indian'],"['Outdoor dining', 'Takeout']",98023
28,"Agave Cocina & Cantina",3.5,"504 Ramsay Way, Ste 107, Kent Station, Kent, WA 98032",0.00,"['Mexican', 'Bars']","['Delivery', 'Takeout']",98032
29,"Maharaj Cuisine Of India",3.5,"2312 SW 336th St, Federal Way, WA 98023",0.00,['Indian'],"['Outdoor dining', 'Takeout']",98023
30,"Carillon Kitchen",3.5,"2240 Carillon Point, Kirkland, WA 98033",0.00,"['American (New)', 'Breakfast & Brunch', 'Juice Bars & Smoothies']","['Outdoor dining', 'Delivery', 'Takeout']",98033
31,"Rainbow Cafe",3.5,"112 E Main St, Auburn, WA 98002",0.00,"['Breakfast & Brunch', 'Diners', 'Bars']",['Takeout'],98002
32,"Magnuson Cafe & Brewery",3.5,"7801 62nd Ave NE, Seattle, WA 98115",0.00,"['Brewpubs', 'Breakfast & Brunch']","['Delivery', 'Takeout']",98115
33,"Santa Fe Mexican Grill & Cantina",3.5,"630 NW Richmond Beach Rd, Seattle, WA 98177",0.00,"['Mexican', 'Beer Bar', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",98177
34,"Puerto Vallarta Restaurant",3.5,"2002 SW Campus Dr, Federal Way, WA 98023",0.00,['Mexican'],[],98023
35,"Stack 571 Burger and Whiskey Bar - Kirkland",3.5,"12540 120th Ave NE, Ste 126, Kirkland, WA 98034",0.00,"['American (New)', 'Burgers', 'Whiskey Bars']","['Outdoor dining']",98034
36,"Magnuson Cafe & Brewery",3.5,"7801 62nd Ave NE, Seattle, WA 98115",0.00,"['Brewpubs', 'Breakfast & Brunch']","['Delivery', 'Takeout']",98115
37,"The French Bakery",3.5,"219 Kirkland Ave, ste 102, Kirkland, WA 98033",0.00,"['Bakeries', 'Patisserie/Cake Shop', 'Cafes']","['Outdoor dining', 'Takeout']",98033
38,"BeachHouse bar + grill",3.5,"6023 Lake Washington Blvd NE, Kirkland, WA 98033",0.00,"['American (New)', 'Seafood', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",98033
39,"The French Bakery",3.5,"909 112th Ave NE, Ste 106, Bellevue, WA 98004",0.00,"['Bakeries', 'Patisserie/Cake Shop', 'Cafes']","['Outdoor dining', 'Takeout']",98004
40,"B3 Breakfast And Burger Bar",3.5,"4027 196th St SW, Lynnwood, WA 98036",0.00,"['Burgers', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",98036
41,"Woodinville Cut Shop",3.5,"12801 NE 175th St, Woodinville, WA 98072",0.00,"['American (Traditional)', 'Lounges']","['Outdoor dining', 'Delivery', 'Takeout']",98072
42,"Woodinville Cut Shop",3.5,"12801 NE 175th St, Woodinville, WA 98072",0.00,"['American (Traditional)', 'Lounges']","['Outdoor dining', 'Delivery', 'Takeout']",98072
43,"Las Margaritas",3.5,"14356 Aurora Ave N, Seattle, WA 98133",0.00,"['Mexican', 'Cocktail Bars']","['Delivery', 'Takeout']",98133
44,"Boiling Point",3.5,"22001 Hwy 99, Ste 100, Edmonds, WA 98026",0.00,"['Taiwanese', 'Hot Pot', 'Comfort Food']","['Outdoor dining', 'Delivery', 'Takeout']",98026
45,Volterra,3.5,"121 Kirkland Ave, Kirkland, WA 98033",0.00,['Italian'],[],98033
46,"WuJu KBBQ",3.5,"19400 36th Ave W, Ste 102, Lynnwood, WA 98036",0.00,"['Korean', 'Barbeque']","['Outdoor dining', 'Delivery', 'Takeout']",98036
47,"Silver Spoon Thai Restaurant & Bar",3.5,"3828 196th St SW, Lynnwood, WA 98036",0.00,"['Thai', 'Bars']",[],98036
48,"Dong Ting Chun",3.5,"22001 WA-99, Ste 400, Edmonds, WA 98026",0.00,['Chinese'],"['Outdoor dining']",98026
49,"Shibu Ramen",3.5,"9733 NE 117th Ln, Kirkland, WA 98034",0.00,"['Ramen', 'Wine Bars', 'Noodles']","['Delivery', 'Takeout']",98034
50,"Happy Lemon",3.5,"22001 Hwy 99 Foyer, Edmonds, WA 98026",0.00,"['Bubble Tea', 'Donuts', 'Hot Dogs']",['Delivery'],98026
51,"Gilson Korean Restaurant",3.5,"22716 Hwy 99, Edmonds, WA 98026",0.00,['Korean'],[],98026
52,"Carillon Kitchen",3.5,"2240 Carillon Point, Kirkland, WA 98033",0.00,"['American (New)', 'Breakfast & Brunch', 'Juice Bars & Smoothies']","['Outdoor dining', 'Delivery', 'Takeout']",98033
53,"Boiling Point",3.5,"22001 Hwy 99, Ste 100, Edmonds, WA 98026",0.00,"['Taiwanese', 'Hot Pot', 'Comfort Food']","['Outdoor dining', 'Delivery', 'Takeout']",98026
54,"Boiling Point",3.5,"22001 Hwy 99, Ste 100, Edmonds, WA 98026",0.00,"['Taiwanese', 'Hot Pot', 'Comfort Food']","['Outdoor dining', 'Delivery', 'Takeout']",98026
55,"Todo Mexico",3.5,"19953 Ballinger Way NE, Shoreline, WA 98155",0.00,['Mexican'],['Delivery'],98155
56,"Hearth Restaurant",3.5,"220 Kirkland Ave, Kirkland, WA 98033",0.00,"['American (New)', 'Bars']","['Outdoor dining', 'Delivery', 'Takeout']",98033
57,"Cedar + Elm",3.5,"14477 Juanita Dr NE, Kenmore, WA 98028",0.00,"['American (New)', 'Breakfast & Brunch']","['Outdoor dining']",98028
58,"Cedar + Elm",3.5,"14477 Juanita Dr NE, Kenmore, WA 98028",0.00,"['American (New)', 'Breakfast & Brunch']","['Outdoor dining']",98028
59,"Pho Ha",3.5,"15215 Aurora Ave N, Shoreline, WA 98133",0.00,"['Vietnamese', 'Sandwiches', 'Bubble Tea']","['Delivery', 'Takeout']",98133
60,"Hibachi Buffet",3.5,"440 16th NE St, Auburn, WA 98002",0.00,"['Buffets', 'Chinese']",[],98002
61,"Gilson Korean Restaurant",3.5,"22716 Hwy 99, Edmonds, WA 98026",0.00,['Korean'],[],98026
62,"BeachHouse bar + grill",3.5,"6023 Lake Washington Blvd NE, Kirkland, WA 98033",0.00,"['American (New)', 'Seafood', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",98033
63,"Stack 571 Burger and Whiskey Bar - Kirkland",3.5,"12540 120th Ave NE, Ste 126, Kirkland, WA 98034",0.00,"['American (New)', 'Burgers', 'Whiskey Bars']","['Outdoor dining']",98034
64,"Kobe Restaurant",3.5,"850 110th Ave NE, Bellevue, WA 98004",0.00,"['Korean', 'Sushi Bars', 'Asian Fusion']","['Delivery', 'Takeout']",98004
65,"Cantinetta Bellevue",3.5,"10038 Main St, Bellevue, WA 98004",0.00,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",98004
66,"Carillon Kitchen",3.5,"2240 Carillon Point, Kirkland, WA 98033",0.00,"['American (New)', 'Breakfast & Brunch', 'Juice Bars & Smoothies']","['Outdoor dining', 'Delivery', 'Takeout']",98033
67,"Jasmine Mongolian Grill",3.5,"31515 Pete Von Reichbauer S, Federal Way, WA 98003",0.00,['Mongolian'],[],98003
68,"Agave Cocina & Cantina",3.5,"504 Ramsay Way, Ste 107, Kent Station, Kent, WA 98032",0.00,"['Bars', 'Mexican']",['Delivery'],98032
69,"Lucky House Chinese Restaurant",3.5,"317 E Smith St, Kent, WA 98030",0.00,"['Dim Sum', 'Seafood', 'Cantonese']","['Outdoor dining', 'Delivery', 'Takeout']",98030
70,"Golden Steer Steak And Rib House",3.5,"23826 104th Ave SE, Kent, WA 98031",0.00,"['Seafood', 'Burgers', 'Sandwiches']","['Delivery', 'Takeout']",98031
71,"Ba Bar",3.5,"500 Terry Ave N, Seattle, WA 98109",0.00,"['Vietnamese', 'Cocktail Bars', 'Bakeries']","['Outdoor dining', 'Delivery', 'Takeout']",98109
72,"Lucky House Chinese Restaurant",3.5,"317 E Smith St, Kent, WA 98030",0.00,"['Dim Sum', 'Seafood', 'Cantonese']","['Outdoor dining', 'Delivery', 'Takeout']",98030
73,"Golden Steer Steak And Rib House",3.5,"23826 104th Ave SE, Kent, WA 98031",0.00,"['Seafood', 'Burgers', 'Sandwiches']","['Delivery', 'Takeout']",98031
74,"Magnuson Cafe & Brewery",3.5,"7801 62nd Ave NE, Seattle, WA 98115",0.00,"['Brewpubs', 'Breakfast & Brunch']","['Delivery', 'Takeout']",98115
75,"Sizzling Pot King",3.5,"14125 NE 20th St, Ste A/B, Bellevue, WA 98007",0.00,"['Szechuan', 'Hot Pot']","['Delivery', 'Takeout']",98007
76,"Ba Bar",3.5,"500 Terry Ave N, Seattle, WA 98109",0.00,"['Vietnamese', 'Cocktail Bars', 'Bakeries']","['Outdoor dining', 'Delivery', 'Takeout']",98109
77,"Solarium Kitchen & Bar",3.5,"300 112th Ave SE, Bellevue, WA 98004",0.00,"['Bars', 'American (New)', 'Sandwiches']",['Takeout'],98004
78,Ginza,3.5,"103 102nd Ave SE, Bellevue, WA 98004",0.00,"['Sushi Bars', 'Ramen', 'Izakaya']","['Delivery', 'Takeout']",98004
79,"Lucky Barbecue & Noodle House",3.5,"14509 NE 20th St, Ste A, Bellevue, WA 98007",0.00,"['Hong Kong Style Cafe', 'Cantonese']","['Outdoor dining', 'Delivery', 'Takeout']",98007
80,"Spicy Chong Qing",3.5,"18230 E Valley Hwy, Ste 175, Kent, WA 98032",0.00,['Szechuan'],['Delivery'],98032
81,"Family Drive-In",3.5,"1124 W Meeker St, Kent, WA 98032",0.00,['Burgers'],['Takeout'],98032
82,"Thai Kitchen Bird Pepper",3.5,"563 Bellevue Sq, Bellevue, WA 98004",0.00,['Thai'],"['Delivery', 'Takeout']",98004
83,"Dan Gui Sichuan Cuisine",3.5,"13112 NE 20th St, Ste 300, Bellevue, WA 98005",0.00,['Szechuan'],"['Delivery', 'Takeout']",98005
84,"Dumpling & Noodle",3.5,"11000 NE 10th St, Ste B, Bellevue, WA 98004",0.00,"['Noodles', 'Chinese']",['Takeout'],98004
85,"Taste of Europe",3.5,"24225 104th Ave SE, Kent, WA 98030",0.00,"['Grocery', 'Imported Food', 'Delis']",[],98030
86,"Cafe Noir",3.5,"33304 Pacific Hwy S, Ste 301, Federal Way, WA 98003",0.00,"['Cafes', 'Desserts', 'Shaved Ice']",[],98003
87,"Dong Ting Chun",3.5,"22001 WA-99, Ste 400, Edmonds, WA 98026",0.00,['Chinese'],"['Outdoor dining']",98026
88,"Cedar + Elm",3.5,"14477 Juanita Dr NE, Kenmore, WA 98028",0.00,"['American (New)', 'Breakfast & Brunch']","['Outdoor dining']",98028
89,"BeachHouse bar + grill",3.5,"6023 Lake Washington Blvd NE, Kirkland, WA 98033",0.00,"['American (New)', 'Seafood', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",98033
90,"Peony Kitchen",3.5,"10317 Main St, Ste 100, Bellevue, WA 98004",0.00,"['Chinese', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",98004
